# source=Hikvision iSecure Center V1.7.0 public return codes and Appendix E
# sectionKey	sectionName	errorCode	description	message
OFFICIAL	附录E.1.2 电视墙错误码	0x01634054	该解码设备不支持设置透明度操作
OFFICIAL	附录E.1.2 电视墙错误码	0x01614065	不能漫游到其他解码设备关联的窗口
OFFICIAL	附录E.1.2 电视墙错误码	0x0161406a	以拼接方式开窗的窗口，无法进行漫游
OFFICIAL	附录E.1.2 电视墙错误码	0x01634079	子窗口资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x0163407a	解码设备不支持音频
OFFICIAL	附录E.1.2 电视墙错误码	0x0163407b	窗口自定义编号冲突
OFFICIAL	附录E.1.2 电视墙错误码	0x0163407c	logo操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161408d	上墙时解析url失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161408e	模拟通道上墙必须上到这个通道所属的解码设备上
OFFICIAL	附录E.1.2 电视墙错误码	0x016340a7	打开音频时不支持同时打开多路
OFFICIAL	附录E.1.2 电视墙错误码	0x01635001	led资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01635002	led资源达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01635003	电视墙关联的解码设备不支持虚拟led
OFFICIAL	附录E.1.2 电视墙错误码	0x01635004	该解码设备虚拟led高度不能超过512
OFFICIAL	附录E.1.2 电视墙错误码	0x01635005	该解码设备虚拟led方向只支持从右向左
OFFICIAL	附录E.1.2 电视墙错误码	0x01635006	该解码设备虚拟led不能纵向跨越多个解码通道
OFFICIAL	附录E.1.2 电视墙错误码	0x01636001	请求参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636002	电视墙行、列参数错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636003	窗口位置参数错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636004	该设备不支持该分割参数
OFFICIAL	附录E.1.2 电视墙错误码	0x01636005	拼接参数错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636006	报警参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636007	场景参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636008	轮巡参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01636009	led参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x0163600a	检查到非法字符，访问被拒绝
OFFICIAL	附录E.1.2 电视墙错误码	0x0163600b	同步解码设备失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0163600c	同步电视墙失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616014	服务内部错误：获取数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616015	服务内部错误：http方法不被允许
OFFICIAL	附录E.1.2 电视墙错误码	0x01616016	服务内部错误：网络通讯错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01616017	向联网共享获取取流url失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616018	服务内部错误：解析json数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616019	网络通讯超时
OFFICIAL	附录E.1.2 电视墙错误码	0x0161601a	sip通讯错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01616028	服务内部错误：建立数据表失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616029	服务内部错误：数据库初始化失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161602a	服务内部错误：提交事务失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161602b	服务内部错误：插入数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161602c	服务内部错误：删除数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161602d	服务内部错误：更新数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161602e	服务内部错误：查询数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161603d	备份电视墙数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161603e	恢复电视墙数据失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01616051	配置参数格式错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01617001	创建超高分拼接失败，行、列值超限
OFFICIAL	附录E.1.2 电视墙错误码	0x01617002	创建超高分拼接失败，输出通道超限
OFFICIAL	附录E.1.2 电视墙错误码	0x01617003	获取超高分拼接失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01617004	删除超高分拼接失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01617005	创建超高分拼接，名称冲突
OFFICIAL	附录E.1.2 电视墙错误码	0x01618004	设备不支持共享密钥的token认证方式
OFFICIAL	附录E.1.2 电视墙错误码	0x01618005	设置设备的密钥失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01618006	用户无资源权限
OFFICIAL	附录E.1.2 电视墙错误码	0x01618007	获取权限失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01619001	批量关窗失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01619002	批量开窗失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01619003	批量上墙失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161a001	服务内部错误：访问到空指针
OFFICIAL	附录E.1.2 电视墙错误码	0x0161a002	输入的内容无效
OFFICIAL	附录E.1.2 电视墙错误码	0x0161a004	访问的文件不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x0161a005	服务器内部错误，请联系开发人员处理
OFFICIAL	附录E.1.2 电视墙错误码	0x0161a006	服务内部错误：部分模块初始化未完成
OFFICIAL	附录E.1.2 电视墙错误码	0x0161b002	告警窗口已经有告警上墙
OFFICIAL	附录E.1.2 电视墙错误码	0x0161b003	获取监控点信息失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161b004	获取窗口信息失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161b006	没有找到告警窗口
OFFICIAL	附录E.1.2 电视墙错误码	0x0161b007	报警窗口不允许该操作
OFFICIAL	附录E.1.2 电视墙错误码	0x0161c001	mq创建消费者失败
